From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Gene Ontology IDs	Gene Ontology (cellular component)	Gene Ontology (biological process)	Gene Ontology (molecular function)	Gene Ontology (GO)
Q0K4G1	Q0K4G1	unreviewed	Q0K4G1_CUPNH	Acetolactate synthase large subunit (TPP dependent), EC 2.2.1.6	H16_B0313	GO:0000287; GO:0003984; GO:0030976; GO:0044281		small molecule metabolic process [GO:0044281]	acetolactate synthase activity [GO:0003984]; magnesium ion binding [GO:0000287]; thiamine pyrophosphate binding [GO:0030976]	acetolactate synthase activity [GO:0003984]; magnesium ion binding [GO:0000287]; thiamine pyrophosphate binding [GO:0030976]; small molecule metabolic process [GO:0044281]
F2QPN6	F2QPN6	unreviewed	F2QPN6_KOMPC	ATP synthase subunit delta, mitochondrial (F-ATPase delta subunit)	ATP16 PP7435_Chr1-1240	GO:0045261; GO:0046933	proton-transporting ATP synthase complex, catalytic core F(1) [GO:0045261]		proton-transporting ATP synthase activity, rotational mechanism [GO:0046933]	proton-transporting ATP synthase complex, catalytic core F(1) [GO:0045261]; proton-transporting ATP synthase activity, rotational mechanism [GO:0046933]
F2QPS3	F2QPS3	unreviewed	F2QPS3_KOMPC	Zinc finger protein	ZPR1 PP7435_Chr1-1282	GO:0008270			zinc ion binding [GO:0008270]	zinc ion binding [GO:0008270]
F2QR10	F2QR10	unreviewed	F2QR10_KOMPC	Component of the cleavage and polyadenylation factor I	RNA15 PP7435_Chr2-0141	GO:0003723			RNA binding [GO:0003723]	RNA binding [GO:0003723]
Q0JZW3	Q0JZW3	unreviewed	Q0JZW3_CUPNH	Cold shock protein, DNA-binding	H16_B1929	GO:0003677; GO:0005829	cytosol [GO:0005829]		DNA binding [GO:0003677]	cytosol [GO:0005829]; DNA binding [GO:0003677]
F2QQV4	F2QQV4	unreviewed	F2QQV4_KOMPC	ADP-ribosylation factor-like protein 3	ARL3 PP7435_Chr2-1363	GO:0003924; GO:0005525			GTP binding [GO:0005525]; GTPase activity [GO:0003924]	GTP binding [GO:0005525]; GTPase activity [GO:0003924]
Q0JYB2	Q0JYB2	unreviewed	Q0JYB2_CUPNH	Predicted acyl-CoA transferase/carnitine dehydratase, EC 5.1.99.-	H16_B2480	GO:0016740; GO:0016853			isomerase activity [GO:0016853]; transferase activity [GO:0016740]	isomerase activity [GO:0016853]; transferase activity [GO:0016740]
Q0K4E6	Q0K4E6	unreviewed	Q0K4E6_CUPNH	Uncharacterized protein	H16_B0328					
F2QSY5	F2QSY5	unreviewed	F2QSY5_KOMPC	Zinc finger protein	RTS2 PP7435_Chr2-0831					
F2QS66	F2QS66	unreviewed	F2QS66_KOMPC	Histone H3	HHT1-1 PP7435_Chr2-0557	GO:0000786; GO:0003677; GO:0005634; GO:0030527; GO:0046982	nucleosome [GO:0000786]; nucleus [GO:0005634]		DNA binding [GO:0003677]; protein heterodimerization activity [GO:0046982]; structural constituent of chromatin [GO:0030527]	nucleosome [GO:0000786]; nucleus [GO:0005634]; DNA binding [GO:0003677]; protein heterodimerization activity [GO:0046982]; structural constituent of chromatin [GO:0030527]
A0A1G4KP36	A0A1G4KP36	unreviewed	A0A1G4KP36_KOMPC	Very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase, EC 4.2.1.134	PP7435_Chr1-1708	GO:0006633; GO:0016021; GO:0102158; GO:0102343; GO:0102344; GO:0102345	integral component of membrane [GO:0016021]	fatty acid biosynthetic process [GO:0006633]	3-hydroxy-arachidoyl-CoA dehydratase activity [GO:0102343]; 3-hydroxy-behenoyl-CoA dehydratase activity [GO:0102344]; 3-hydroxy-lignoceroyl-CoA dehydratase activity [GO:0102345]; very-long-chain 3-hydroxyacyl-CoA dehydratase activity [GO:0102158]	integral component of membrane [GO:0016021]; 3-hydroxy-arachidoyl-CoA dehydratase activity [GO:0102343]; 3-hydroxy-behenoyl-CoA dehydratase activity [GO:0102344]; 3-hydroxy-lignoceroyl-CoA dehydratase activity [GO:0102345]; very-long-chain 3-hydroxyacyl-CoA dehydratase activity [GO:0102158]; fatty acid biosynthetic process [GO:0006633]
A0A1G4KPD9	A0A1G4KPD9	unreviewed	A0A1G4KPD9_KOMPC	zf-LYAR domain-containing protein	PP7435_Chr1-2500	GO:0003677; GO:0005634; GO:0046872	nucleus [GO:0005634]		DNA binding [GO:0003677]; metal ion binding [GO:0046872]	nucleus [GO:0005634]; DNA binding [GO:0003677]; metal ion binding [GO:0046872]
F2QX66	F2QX66	unreviewed	F2QX66_KOMPC	Mitochondrial malic enzyme	MAE1 PP7435_Chr3-1050	GO:0004471; GO:0046872; GO:0051287			malate dehydrogenase (decarboxylating) (NAD+) activity [GO:0004471]; metal ion binding [GO:0046872]; NAD binding [GO:0051287]	malate dehydrogenase (decarboxylating) (NAD+) activity [GO:0004471]; metal ion binding [GO:0046872]; NAD binding [GO:0051287]
Q0K254	Q0K254	unreviewed	Q0K254_CUPNH	Microcystinase C, MlrC	H16_B1129	GO:0006508; GO:0008237; GO:0046872		proteolysis [GO:0006508]	metal ion binding [GO:0046872]; metallopeptidase activity [GO:0008237]	metal ion binding [GO:0046872]; metallopeptidase activity [GO:0008237]; proteolysis [GO:0006508]
F2QZ68	F2QZ68	unreviewed	F2QZ68_KOMPC	Lsm (Like Sm) protein involved in RNA processing	LSM2 PP7435_Chr4-0532	GO:0003723; GO:0005681; GO:0006397; GO:0008380	spliceosomal complex [GO:0005681]	mRNA processing [GO:0006397]; RNA splicing [GO:0008380]	RNA binding [GO:0003723]	spliceosomal complex [GO:0005681]; RNA binding [GO:0003723]; mRNA processing [GO:0006397]; RNA splicing [GO:0008380]
Q0K8W9	Q0K8W9	unreviewed	Q0K8W9_CUPNH	Soluble lytic murein transglycosylase or relatedregulatory protein, EC 3.2.1.-	H16_A2463	GO:0000270; GO:0008933; GO:0016020; GO:0016798	membrane [GO:0016020]	peptidoglycan metabolic process [GO:0000270]	hydrolase activity, acting on glycosyl bonds [GO:0016798]; lytic transglycosylase activity [GO:0008933]	membrane [GO:0016020]; hydrolase activity, acting on glycosyl bonds [GO:0016798]; lytic transglycosylase activity [GO:0008933]; peptidoglycan metabolic process [GO:0000270]
A0A1G4KPB3	A0A1G4KPB3	unreviewed	A0A1G4KPB3_KOMPC	Uncharacterized protein	PP7435_Chr1-2522					
Q0KBD1	Q0KBD1	reviewed	OTNI_CUPNH	2-oxo-tetronate isomerase, EC 5.3.1.35 (2-dehydrotetronate isomerase)	otnI hyi1 H16_A1558	GO:0005975; GO:0016853; GO:0046872		carbohydrate metabolic process [GO:0005975]	isomerase activity [GO:0016853]; metal ion binding [GO:0046872]	isomerase activity [GO:0016853]; metal ion binding [GO:0046872]; carbohydrate metabolic process [GO:0005975]
Q0K2S1	Q0K2S1	unreviewed	Q0K2S1_CUPNH	Transcriptional regulator, LysR-family	H16_B0911	GO:0003700			DNA-binding transcription factor activity [GO:0003700]	DNA-binding transcription factor activity [GO:0003700]
Q0KAI3	Q0KAI3	unreviewed	Q0KAI3_CUPNH	Acetyl-CoA acetyltransferase, EC 2.3.1.9	H16_A1887	GO:0003985			acetyl-CoA C-acetyltransferase activity [GO:0003985]	acetyl-CoA C-acetyltransferase activity [GO:0003985]
Q0JZM3	Q0JZM3	unreviewed	Q0JZM3_CUPNH	Uncharacterized protein	H16_B2019					
Q0KBQ6	Q0KBQ6	unreviewed	Q0KBQ6_CUPNH	Uncharacterized protein	H16_A1430					
F2QW19	F2QW19	unreviewed	F2QW19_KOMPC	Phosphoserine transaminase, EC 2.6.1.52	SER1 PP7435_Chr3-0640	GO:0004648; GO:0006564		L-serine biosynthetic process [GO:0006564]	O-phospho-L-serine:2-oxoglutarate aminotransferase activity [GO:0004648]	O-phospho-L-serine:2-oxoglutarate aminotransferase activity [GO:0004648]; L-serine biosynthetic process [GO:0006564]
F2QXF7	F2QXF7	unreviewed	F2QXF7_KOMPC	UDENN domain-containing protein	PP7435_Chr3-1142					
F2QY76	F2QY76	unreviewed	F2QY76_KOMPC	Elongator complex protein 2	ELP2 PP7435_Chr4-0179	GO:0002098; GO:0005634; GO:0005737; GO:0033588	cytoplasm [GO:0005737]; elongator holoenzyme complex [GO:0033588]; nucleus [GO:0005634]	tRNA wobble uridine modification [GO:0002098]		cytoplasm [GO:0005737]; elongator holoenzyme complex [GO:0033588]; nucleus [GO:0005634]; tRNA wobble uridine modification [GO:0002098]
Q0K4F0	Q0K4F0	unreviewed	Q0K4F0_CUPNH	Fumarylacetoacetate hydrolase, EC 3.7.1.2	H16_B0324	GO:0004334			fumarylacetoacetase activity [GO:0004334]	fumarylacetoacetase activity [GO:0004334]
F2QY77	F2QY77	unreviewed	F2QY77_KOMPC	Dolichyl-phosphate-mannose--protein mannosyltransferase, EC 2.4.1.109	PMT6 PP7435_Chr4-0180	GO:0004169; GO:0005789; GO:0016021	endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]		dolichyl-phosphate-mannose-protein mannosyltransferase activity [GO:0004169]	endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]; dolichyl-phosphate-mannose-protein mannosyltransferase activity [GO:0004169]
Q0JYS0	Q0JYS0	unreviewed	Q0JYS0_CUPNH	Predicted dithiol-disulfide isomerase	frnE H16_B2322	GO:0016491; GO:0016853			isomerase activity [GO:0016853]; oxidoreductase activity [GO:0016491]	isomerase activity [GO:0016853]; oxidoreductase activity [GO:0016491]
Q0JZF1	Q0JZF1	unreviewed	Q0JZF1_CUPNH	Fimbrial assembly chaperone	fimB H16_B2091	GO:0030288; GO:0061077; GO:0071555	outer membrane-bounded periplasmic space [GO:0030288]	cell wall organization [GO:0071555]; chaperone-mediated protein folding [GO:0061077]		outer membrane-bounded periplasmic space [GO:0030288]; cell wall organization [GO:0071555]; chaperone-mediated protein folding [GO:0061077]
A0A1G4KQ28	A0A1G4KQ28	unreviewed	A0A1G4KQ28_KOMPC	Actin-associated protein	RVS167 PP7435_Chr2-1191	GO:0005737	cytoplasm [GO:0005737]			cytoplasm [GO:0005737]
F2QY01	F2QY01	unreviewed	F2QY01_KOMPC	Glucose-induced degradation complex subunit	GID7 PP7435_Chr4-0103					
F2R077	F2R077	unreviewed	F2R077_KOMPC	Aminopeptidase, EC 3.4.11.-	TMA108 PP7435_Chr4-0904	GO:0004177; GO:0006508; GO:0008237; GO:0008270		proteolysis [GO:0006508]	aminopeptidase activity [GO:0004177]; metallopeptidase activity [GO:0008237]; zinc ion binding [GO:0008270]	aminopeptidase activity [GO:0004177]; metallopeptidase activity [GO:0008237]; zinc ion binding [GO:0008270]; proteolysis [GO:0006508]
A0A1G4KQY8	A0A1G4KQY8	unreviewed	A0A1G4KQY8_KOMPC	Protein kinase	RCK2 PP7435_Chr4-2071	GO:0004672; GO:0005524; GO:0006468		protein phosphorylation [GO:0006468]	ATP binding [GO:0005524]; protein kinase activity [GO:0004672]	ATP binding [GO:0005524]; protein kinase activity [GO:0004672]; protein phosphorylation [GO:0006468]
F2QWE5	F2QWE5	unreviewed	F2QWE5_KOMPC	U6 snRNA-associated Sm-like protein LSm1	LSM1 PP7435_Chr3-0769	GO:0000339; GO:0000932; GO:0000956; GO:0006397; GO:0032991	P-body [GO:0000932]; protein-containing complex [GO:0032991]	mRNA processing [GO:0006397]; nuclear-transcribed mRNA catabolic process [GO:0000956]	RNA cap binding [GO:0000339]	P-body [GO:0000932]; protein-containing complex [GO:0032991]; RNA cap binding [GO:0000339]; mRNA processing [GO:0006397]; nuclear-transcribed mRNA catabolic process [GO:0000956]
A0A1G4KQV5	A0A1G4KQV5	unreviewed	A0A1G4KQV5_KOMPC	Putative vacuolar membrane transporter for cationic amino acids	RTC2 PP7435_Chr4-1554	GO:0016021	integral component of membrane [GO:0016021]			integral component of membrane [GO:0016021]
F2QVP4	F2QVP4	unreviewed	F2QVP4_KOMPC	Autophagy-related protein 3	ATG3 PP7435_Chr3-0512	GO:0019787			ubiquitin-like protein transferase activity [GO:0019787]	ubiquitin-like protein transferase activity [GO:0019787]
F2QUK9	F2QUK9	unreviewed	F2QUK9_KOMPC	RING-type domain-containing protein	PP7435_Chr3-0115	GO:0016021	integral component of membrane [GO:0016021]			integral component of membrane [GO:0016021]
F2QQ36	F2QQ36	unreviewed	F2QQ36_KOMPC	Ubiquinone biosynthesis	COQ8 PP7435_Chr1-1399					
F2QZY1	F2QZY1	unreviewed	F2QZY1_KOMPC	Transcription factor	PpTRM1 PP7435_Chr4-0805	GO:0000981; GO:0003677; GO:0006351; GO:0008270; GO:0016021	integral component of membrane [GO:0016021]	transcription, DNA-templated [GO:0006351]	DNA binding [GO:0003677]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; zinc ion binding [GO:0008270]	integral component of membrane [GO:0016021]; DNA binding [GO:0003677]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; zinc ion binding [GO:0008270]; transcription, DNA-templated [GO:0006351]
A0A1G4KPQ1	A0A1G4KPQ1	unreviewed	A0A1G4KPQ1_KOMPC	Translational activator	MSS51 PP7435_Chr2-0233					
F2QMW8	F2QMW8	unreviewed	F2QMW8_KOMPC	AP complex subunit beta	APL2 PP7435_Chr1-0783	GO:0006886; GO:0016192; GO:0030117; GO:0030276	membrane coat [GO:0030117]	intracellular protein transport [GO:0006886]; vesicle-mediated transport [GO:0016192]	clathrin binding [GO:0030276]	membrane coat [GO:0030117]; clathrin binding [GO:0030276]; intracellular protein transport [GO:0006886]; vesicle-mediated transport [GO:0016192]
F2QWK6	F2QWK6	unreviewed	F2QWK6_KOMPC	Bromo domain-containing protein	PP7435_Chr3-0831					
Q0JZY1	Q0JZY1	unreviewed	Q0JZY1_CUPNH	Elongation factor G	H16_B1911	GO:0003746; GO:0003924; GO:0005525			GTP binding [GO:0005525]; GTPase activity [GO:0003924]; translation elongation factor activity [GO:0003746]	GTP binding [GO:0005525]; GTPase activity [GO:0003924]; translation elongation factor activity [GO:0003746]
F2QSK5	F2QSK5	unreviewed	F2QSK5_KOMPC	Signal peptidase complex subunit 2	SPC2 PP7435_Chr2-0697	GO:0005787; GO:0006465; GO:0016021	integral component of membrane [GO:0016021]; signal peptidase complex [GO:0005787]	signal peptide processing [GO:0006465]		integral component of membrane [GO:0016021]; signal peptidase complex [GO:0005787]; signal peptide processing [GO:0006465]
Q0K522	Q0K522	unreviewed	Q0K522_CUPNH	Ethanolamine ammonia-lyase large subunit, EAL large subunit, EC 4.3.1.7	eutB H16_B0096	GO:0006520; GO:0008851		cellular amino acid metabolic process [GO:0006520]	ethanolamine ammonia-lyase activity [GO:0008851]	ethanolamine ammonia-lyase activity [GO:0008851]; cellular amino acid metabolic process [GO:0006520]
F2QNL7	F2QNL7	unreviewed	F2QNL7_KOMPC	DNA mismatch repair protein HSM3	HSM3 PP7435_Chr1-0289	GO:0005737	cytoplasm [GO:0005737]			cytoplasm [GO:0005737]
F2QUM2	F2QUM2	unreviewed	F2QUM2_KOMPC	Nuclear pore complex protein Nup85	NUP85 PP7435_Chr3-0128	GO:0015031; GO:0017056; GO:0031080; GO:0031965; GO:0051028	nuclear membrane [GO:0031965]; nuclear pore outer ring [GO:0031080]	mRNA transport [GO:0051028]; protein transport [GO:0015031]	structural constituent of nuclear pore [GO:0017056]	nuclear membrane [GO:0031965]; nuclear pore outer ring [GO:0031080]; structural constituent of nuclear pore [GO:0017056]; mRNA transport [GO:0051028]; protein transport [GO:0015031]
Q0K6I2	Q0K6I2	unreviewed	Q0K6I2_CUPNH	Anthranilate synthase component II, EC 4.1.3.27	trpG H16_A3320	GO:0004049; GO:0071704		organic substance metabolic process [GO:0071704]	anthranilate synthase activity [GO:0004049]	anthranilate synthase activity [GO:0004049]; organic substance metabolic process [GO:0071704]
F2QS11	F2QS11	unreviewed	F2QS11_KOMPC	Protein with internal repeats 1	PpPIR1 PP7435_Chr2-0501	GO:0005199			structural constituent of cell wall [GO:0005199]	structural constituent of cell wall [GO:0005199]
Q0K177	Q0K177	unreviewed	Q0K177_CUPNH	Response regulator containing sigma54 activator and Fis-type DNA-binding domains	H16_B1459	GO:0000160; GO:0005524; GO:0006355; GO:0043565		phosphorelay signal transduction system [GO:0000160]; regulation of transcription, DNA-templated [GO:0006355]	ATP binding [GO:0005524]; sequence-specific DNA binding [GO:0043565]	ATP binding [GO:0005524]; sequence-specific DNA binding [GO:0043565]; phosphorelay signal transduction system [GO:0000160]; regulation of transcription, DNA-templated [GO:0006355]
Q0KF64	Q0KF64	unreviewed	Q0KF64_CUPNH	Transcriptional regulator, LysR-family	H16_A0205	GO:0003700			DNA-binding transcription factor activity [GO:0003700]	DNA-binding transcription factor activity [GO:0003700]
F2QV05	F2QV05	unreviewed	F2QV05_KOMPC	Putative subunit of the 90S preribosome processome complex	CMS1 PP7435_Chr3-0262					
Q0KDM3	Q0KDM3	unreviewed	Q0KDM3_CUPNH	Nitrogen regulatory protein PII	H16_A0750	GO:0006808; GO:0030234		regulation of nitrogen utilization [GO:0006808]	enzyme regulator activity [GO:0030234]	enzyme regulator activity [GO:0030234]; regulation of nitrogen utilization [GO:0006808]
Q0K3W3	Q0K3W3	unreviewed	Q0K3W3_CUPNH	Transcriptional regulator, GntR-family	H16_B0514	GO:0003677; GO:0003700; GO:0006744; GO:0016829		ubiquinone biosynthetic process [GO:0006744]	DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]; lyase activity [GO:0016829]	DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]; lyase activity [GO:0016829]; ubiquinone biosynthetic process [GO:0006744]
F2QWF3	F2QWF3	unreviewed	F2QWF3_KOMPC	Mitochondrial amino acid transporter	AGC1 PP7435_Chr3-0777	GO:0005743; GO:0016021; GO:0055085	integral component of membrane [GO:0016021]; mitochondrial inner membrane [GO:0005743]	transmembrane transport [GO:0055085]		integral component of membrane [GO:0016021]; mitochondrial inner membrane [GO:0005743]; transmembrane transport [GO:0055085]
Q0K6L7	Q0K6L7	unreviewed	Q0K6L7_CUPNH	Cell division protein FtsL	ftsL H16_A3280	GO:0005887; GO:0032153; GO:0043093	cell division site [GO:0032153]; integral component of plasma membrane [GO:0005887]	FtsZ-dependent cytokinesis [GO:0043093]		cell division site [GO:0032153]; integral component of plasma membrane [GO:0005887]; FtsZ-dependent cytokinesis [GO:0043093]
Q0KDN4	Q0KDN4	unreviewed	Q0KDN4_CUPNH	Type IV pilus transmembrane protein PilJ	pilJ H16_A0739	GO:0004888; GO:0006935; GO:0007165; GO:0016021	integral component of membrane [GO:0016021]	chemotaxis [GO:0006935]; signal transduction [GO:0007165]	transmembrane signaling receptor activity [GO:0004888]	integral component of membrane [GO:0016021]; transmembrane signaling receptor activity [GO:0004888]; chemotaxis [GO:0006935]; signal transduction [GO:0007165]
F2QVH7	F2QVH7	unreviewed	F2QVH7_KOMPC	Dynamin-related GTPase protein	DNM1 PP7435_Chr3-0443	GO:0003924; GO:0005525; GO:0006996		organelle organization [GO:0006996]	GTP binding [GO:0005525]; GTPase activity [GO:0003924]	GTP binding [GO:0005525]; GTPase activity [GO:0003924]; organelle organization [GO:0006996]
F2QZQ1	F2QZQ1	unreviewed	F2QZQ1_KOMPC	Pre-rRNA processing, 18S rRNA synthesis, and snoRNA synthesis protein	NOP58 PP7435_Chr4-0723	GO:0005730; GO:0030515; GO:0031428; GO:0032040; GO:0042254	box C/D RNP complex [GO:0031428]; nucleolus [GO:0005730]; small-subunit processome [GO:0032040]	ribosome biogenesis [GO:0042254]	snoRNA binding [GO:0030515]	box C/D RNP complex [GO:0031428]; nucleolus [GO:0005730]; small-subunit processome [GO:0032040]; snoRNA binding [GO:0030515]; ribosome biogenesis [GO:0042254]
Q0KCY8	Q0KCY8	unreviewed	Q0KCY8_CUPNH	Outer membrane protein and related peptidoglycan-associated (Lipo)proteins	H16_A0990	GO:0016021	integral component of membrane [GO:0016021]			integral component of membrane [GO:0016021]
Q0KCU0	Q0KCU0	unreviewed	Q0KCU0_CUPNH	CDP-diacylglycerol--serine O-phosphatidyltransferase, EC 2.7.8.8 (Phosphatidylserine synthase)	pssA H16_A1039	GO:0003882; GO:0008654; GO:0016021	integral component of membrane [GO:0016021]	phospholipid biosynthetic process [GO:0008654]	CDP-diacylglycerol-serine O-phosphatidyltransferase activity [GO:0003882]	integral component of membrane [GO:0016021]; CDP-diacylglycerol-serine O-phosphatidyltransferase activity [GO:0003882]; phospholipid biosynthetic process [GO:0008654]
F2QWR7	F2QWR7	unreviewed	F2QWR7_KOMPC	DNA topoisomerase 2, EC 5.6.2.2	TOP2 PP7435_Chr3-0893	GO:0003677; GO:0003918; GO:0005524; GO:0006265; GO:0046872; GO:0061982		DNA topological change [GO:0006265]; meiosis I cell cycle process [GO:0061982]	ATP binding [GO:0005524]; DNA binding [GO:0003677]; DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) activity [GO:0003918]; metal ion binding [GO:0046872]	ATP binding [GO:0005524]; DNA binding [GO:0003677]; DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) activity [GO:0003918]; metal ion binding [GO:0046872]; DNA topological change [GO:0006265]; meiosis I cell cycle process [GO:0061982]
Q0JZM1	Q0JZM1	unreviewed	Q0JZM1_CUPNH	Phasin (PHA-granule associated protein)	phaP4 H16_B2021					
Q0K979	Q0K979	reviewed	TAL_CUPNH	Transaldolase, EC 2.2.1.2	tal H16_A2346	GO:0004801; GO:0005737; GO:0005975; GO:0006098	cytoplasm [GO:0005737]	carbohydrate metabolic process [GO:0005975]; pentose-phosphate shunt [GO:0006098]	transaldolase activity [GO:0004801]	cytoplasm [GO:0005737]; transaldolase activity [GO:0004801]; carbohydrate metabolic process [GO:0005975]; pentose-phosphate shunt [GO:0006098]
F2QQ91	F2QQ91	unreviewed	F2QQ91_KOMPC	Vacuolar protein sorting-associated protein 1	VPS1 PP7435_Chr1-1455	GO:0003924; GO:0005525; GO:0006996		organelle organization [GO:0006996]	GTP binding [GO:0005525]; GTPase activity [GO:0003924]	GTP binding [GO:0005525]; GTPase activity [GO:0003924]; organelle organization [GO:0006996]
